
-,-,-
-2.56,-0.24,9.25
-2.55,-0.22,9.35
-2.55,-0.23,9.34
-2.56,-0.23,9.33
-2.55,-0.20,9.29
-2.57,-0.23,9.32
-2.55,-0.24,9.33
-2.55,-0.24,9.33
-2.56,-0.23,9.31
-2.57,-0.23,9.33
-2.02,-1.08,9.50
-2.68,0.01,9.30
-2.43,-0.65,9.35
-2.57,-0.25,9.33
-2.55,-0.23,9.32
-2.56,-0.21,9.34
-2.55,-0.44,9.34
-2.85,-1.56,9.15
-2.15,0.58,9.48
-2.52,-1.73,9.28
-1.81,0.80,9.62
-2.60,0.66,9.36
-1.92,-0.94,9.62
-2.59,-0.67,9.40
-2.48,0.28,9.43
-2.51,-0.41,9.31
-3.06,-0.79,9.12
-2.77,-0.53,9.32
-2.54,-0.12,9.31
-2.93,0.05,9.19
-2.86,-0.09,9.25
-2.89,-0.53,9.17
-3.23,0.16,9.15
-2.82,0.49,9.23
-2.53,-0.43,9.27
-3.03,-0.68,9.17
-3.20,0.30,9.17
-3.17,-0.24,9.18
-2.88,-0.12,9.23
-2.61,0.83,9.36
-2.18,1.32,9.48
-1.87,0.56,9.55
-2.00,0.00,9.42
-2.08,0.01,9.44
-1.93,-0.80,9.47
-2.03,-0.53,9.47
-2.32,-0.50,9.39
-2.17,-1.16,9.44
-2.37,-0.09,9.28
-2.77,0.31,9.30
-2.77,-0.27,9.29
-2.51,-0.20,9.35
-2.42,-0.34,9.33
-2.66,0.62,9.30
-2.49,-0.16,9.35
-2.44,-0.15,9.38
-2.67,0.49,9.26
-2.50,-0.51,9.36
-2.56,-0.03,9.32
-2.44,-0.54,9.39
-2.48,-0.26,9.34
-2.53,-0.02,9.32
-2.52,-0.04,9.34
-2.49,-0.33,9.34
-2.52,-0.22,9.34
-2.51,-0.18,9.37
-2.54,-0.20,9.31
-2.51,-0.20,9.32
-2.49,-0.20,9.32




-,-,-
-2.53,-0.20,9.28
-2.54,-0.20,9.32
-2.52,-0.21,9.33
-2.15,-0.72,9.46
-2.49,-0.23,9.32
-2.63,-0.06,9.32
-2.54,-0.23,9.34
-2.95,-0.75,9.19
-2.68,0.11,9.29
-2.26,0.02,9.41
-2.15,2.09,9.45
-2.49,-0.37,9.34
-2.00,-0.73,9.45
-1.38,0.14,9.68
-1.89,-0.71,9.46
-2.20,-0.72,9.41
-2.42,-0.98,9.35
-2.46,-1.08,9.29
-2.17,-0.86,9.42
-2.60,-0.64,9.24
-3.00,-0.88,9.20
-2.59,-1.31,9.22
-2.49,-0.31,9.35
-2.93,-0.98,9.16
-3.71,-0.30,8.97
-3.77,0.46,9.00
-3.89,0.45,8.98
-3.03,-0.50,9.34
-3.58,1.24,8.93
-3.05,1.66,9.11
-2.17,1.11,9.42
-2.39,0.69,9.38
-2.00,0.10,9.49
-2.16,0.24,9.42
-1.96,-0.30,9.53
-2.51,-0.00,9.39
-1.58,0.23,9.66
-1.78,-0.13,9.58
-1.84,-0.81,9.55
-1.64,-0.60,9.63
-1.69,-0.89,9.56
-1.66,-0.92,9.55
-1.89,-0.93,9.51
-2.29,-1.26,9.36
-2.36,-1.56,9.32
-2.66,-0.97,9.22
-2.77,-0.88,9.20
-2.72,-1.40,9.30
-2.95,-0.94,9.11
-3.15,-0.92,9.17
-3.05,-1.11,9.13
-3.18,0.37,9.11
-3.15,0.06,9.11
-3.79,0.00,8.97
-3.56,0.26,9.08
-3.35,0.72,9.05
-2.87,0.45,9.32
-2.50,1.51,9.36
-2.14,0.82,9.44
-2.12,1.01,9.42
-2.18,-0.05,9.45
-2.16,0.62,9.41
-2.12,0.53,9.50
-1.77,0.10,9.61
-2.01,0.34,9.51
-2.43,-0.38,9.30
-2.17,0.31,9.45
-1.77,0.02,9.52
-1.74,-0.68,9.59
-1.26,-0.11,9.70
-1.57,-0.92,9.64
-2.04,-1.55,9.45
-2.04,-1.25,9.47
-2.63,-1.55,9.28
-2.69,-0.87,9.30
-2.11,-1.23,9.43
-2.54,-0.70,9.36
-2.69,-0.72,9.36
-2.89,-1.30,9.21
-2.75,-0.70,9.26
-2.49,-0.41,9.35
-3.25,-0.76,9.10
-3.44,-0.22,9.09
-3.08,-0.64,9.14
-3.63,-0.12,9.13
-3.39,0.01,9.05
-3.33,0.27,9.07
-3.28,0.23,9.15
-2.82,0.79,9.25
-2.34,0.92,9.44
-2.56,0.88,9.36
-2.04,0.70,9.42
-2.81,0.62,9.22
-2.23,0.07,9.42
-2.62,-0.29,9.29
-2.33,0.56,9.40
-2.49,0.77,9.39
-2.07,0.41,9.44
-2.18,-0.28,9.49
-2.00,-0.57,9.44
-2.13,-0.71,9.51
-2.57,0.22,9.36
-1.74,-0.33,9.61
-2.19,-0.45,9.40
-2.25,-0.64,9.42
-2.35,-0.95,9.40
-2.47,-0.34,9.29
-1.92,-0.92,9.44
-2.24,-0.54,9.39
-2.36,-0.76,9.36
-2.36,-0.51,9.39
-2.55,-0.82,9.30
-2.61,-0.97,9.34
-2.79,-0.90,9.28
-2.35,-0.85,9.34
-2.69,-0.42,9.22
-2.93,-0.71,9.30
-2.60,-0.35,9.31
-2.47,-0.93,9.25
-3.10,-0.41,9.13
-2.19,-0.98,9.45
-2.44,-0.71,9.40
-2.77,-1.04,9.26
-3.54,-0.33,9.03
-3.20,-0.30,9.13
-3.85,-0.33,8.90
-3.78,0.26,8.94
-3.63,0.44,8.99
-3.41,0.28,9.16
-2.68,1.50,9.26
-2.57,1.70,9.37
-1.99,1.48,9.52
-1.96,-0.02,9.47
-2.39,0.23,9.32
-2.39,-0.12,9.35
-2.09,0.02,9.42
-1.86,0.61,9.48
-1.84,0.39,9.55
-1.75,-0.38,9.61
-1.45,-0.18,9.59
-1.46,-0.02,9.62
-1.87,-1.30,9.51
-1.72,-0.99,9.54
-1.87,-1.20,9.46
-2.00,-1.53,9.46
-2.11,-1.14,9.46
-2.36,-1.29,9.34
-2.26,-1.00,9.40
-2.31,-1.17,9.36
-2.30,-0.91,9.33
-2.66,-1.16,9.22
-2.93,-0.76,9.15
-3.06,-1.14,9.21
-3.84,-0.84,8.91
-3.94,-1.28,8.93
-4.01,-0.78,8.83
-3.43,-0.28,9.19
-3.46,0.71,9.02
-3.98,0.07,8.80
-3.78,0.77,8.96
-3.00,1.04,9.18
-2.82,1.96,9.22
-2.12,1.34,9.31
-1.93,0.91,9.51
-2.03,0.14,9.49
-2.98,1.24,9.23
-1.86,-0.22,9.56
-2.05,0.20,9.41
-1.65,0.22,9.51
-1.54,0.96,9.71
-1.02,-0.15,9.75
-1.02,-1.37,9.80
-1.39,-0.63,9.67
-1.84,-1.95,9.58
-1.59,-1.24,9.63
-2.10,-1.32,9.39
-2.57,-1.34,9.29
-2.80,-1.20,9.14
-2.86,-1.21,9.16
-2.91,-0.54,9.12
-3.15,-0.70,9.20
-2.66,-0.82,9.25
-3.18,-0.59,9.17
-3.12,-0.26,9.21
-3.41,0.24,9.13
-3.14,-0.13,9.10
-2.85,0.37,9.30
-3.18,0.65,9.17
-2.82,0.64,9.28
-2.62,0.64,9.28
-2.67,0.51,9.33
-2.38,-0.11,9.39
-2.32,-0.39,9.39
-2.35,-0.06,9.39
-2.50,0.21,9.33
-2.40,-0.01,9.36
-2.66,0.50,9.28



-,-,-
-2.55,-0.22,9.26
-2.56,-0.22,9.32
-2.56,-0.22,9.31
-2.65,4.13,9.31
-4.30,-1.49,8.50
-4.14,-1.68,8.88
-2.13,0.33,9.51
-3.09,0.87,9.20
-4.45,-0.81,8.77
-1.65,1.04,9.60
-2.10,0.39,9.40
-2.49,0.27,9.34
-2.34,0.51,9.34
-2.26,0.26,9.39
-2.17,0.16,9.41
-1.48,-0.39,9.59
-1.44,0.35,9.58
-1.18,-0.79,9.68
-1.30,-0.55,9.66
-2.66,-1.92,9.33
-2.63,-1.07,9.35
-3.37,-1.31,9.04
-2.79,-0.64,9.32
-2.37,0.05,9.41
-2.85,-0.98,9.17
-2.71,-0.50,9.29
-2.55,-0.64,9.32
-2.09,-0.22,9.50
-2.33,-0.27,9.39
-2.83,0.15,9.31
-2.31,-0.05,9.45
-2.62,0.12,9.34
-2.88,-0.18,9.17
-2.80,0.08,9.29
-3.00,-0.85,9.34
-2.71,0.49,9.41
-3.00,-0.04,9.22
-2.87,-1.21,9.30
-3.07,-0.34,9.12
-3.33,-1.05,9.03
-3.39,-1.19,9.02
-3.67,-0.46,8.99
-3.48,0.93,9.00
-3.26,1.25,9.16
-3.27,0.54,9.10
-3.35,0.86,9.00
-2.47,1.78,9.32
-1.96,1.13,9.46
-2.64,0.02,9.27
-2.34,0.74,9.43
-1.52,0.39,9.69
-1.34,0.13,9.74
-0.65,0.97,9.92
-0.71,-1.19,9.87
-0.63,-0.61,9.82
-0.84,-1.37,9.77
-0.57,-1.30,9.98
-1.62,-2.34,9.55
-2.14,-1.79,9.49
-2.25,-2.07,9.29
-2.61,-1.71,9.26
-3.00,-1.75,9.22
-3.23,-1.53,9.14
-3.56,-1.46,9.07
-4.60,-0.65,8.73
-4.14,-1.67,8.89
-4.55,-1.01,8.86
-5.07,0.85,8.63
-4.80,1.57,8.76
-4.60,0.15,8.63
-2.36,1.64,9.42
-2.58,2.57,9.42
-2.73,2.30,9.32
-2.18,0.92,9.42
-3.11,0.61,9.19
-1.98,0.39,9.50
-2.64,-0.09,9.31
-1.79,0.84,9.58
-0.62,0.41,9.89
-0.14,0.05,10.11
-0.21,-0.46,10.06
-1.01,-0.35,9.77
-1.08,-0.55,9.69
-1.71,-1.84,9.49
-1.29,-1.18,9.65
-1.93,-2.17,9.41
-1.72,-1.59,9.54
-2.46,-1.56,9.36
-2.21,-2.11,9.35
-2.18,-2.21,9.36
-2.47,-1.87,9.22
-3.05,-2.10,9.18
-3.90,-1.04,8.97
-4.36,-0.88,8.82
-4.41,-1.14,8.80
-4.61,-0.37,8.62
-4.46,0.13,8.71
-4.71,1.06,8.63
-4.24,1.41,8.83
-3.14,2.40,9.26
-3.27,2.17,9.13
-2.30,1.89,9.41
-2.59,1.70,9.43
-2.04,1.51,9.38
-2.25,0.38,9.31
-2.24,0.09,9.55
-0.87,-0.10,9.87
-0.96,-0.01,9.83
-0.95,-0.32,9.80
-0.62,-0.47,9.84
-0.98,-1.14,9.91
-0.90,-1.12,9.82
-0.72,-2.31,9.80
-1.44,-1.95,9.63
-1.82,-2.54,9.65
-2.60,-2.64,9.35
-2.82,-2.70,9.32
-3.13,-2.38,9.26
-4.12,-1.84,8.71
-3.94,-1.71,8.92
-4.98,0.04,8.62
-5.10,0.24,8.52
-4.96,0.67,8.67
-4.06,1.20,8.87
-3.77,1.35,8.99
-2.94,1.88,9.17
-2.79,2.73,9.28
-1.91,1.44,9.49
-2.44,0.45,9.39
-2.47,0.79,9.28
-1.43,0.63,9.64
-2.60,-0.35,9.32
-1.25,0.64,9.70
-1.15,0.96,9.71
-0.91,-0.90,9.74
-1.17,-2.02,9.73
0.34,-0.32,10.13
-1.18,-2.76,9.72
-2.02,-2.99,9.39
-1.94,-1.48,9.53
-1.51,-1.55,9.52
-2.39,-1.76,9.31
-3.03,-2.12,9.09
-3.48,-1.93,9.02
-3.79,-1.82,8.92
-4.43,-1.34,8.70
-4.83,-0.23,8.57
-5.31,0.59,8.59
-4.09,0.85,8.96
-3.75,1.71,8.93
-4.19,1.18,8.83
-3.12,1.80,9.17
-2.99,1.78,9.17
-2.67,0.95,9.25
-2.21,1.35,9.29
-1.86,1.98,9.56
-1.45,1.02,9.70
-1.01,-0.49,9.80
-0.99,-1.10,9.76
-0.47,-0.46,9.87
-0.90,-2.60,9.68
-0.04,-1.82,10.10
-0.06,-2.33,9.99
-1.23,-2.62,9.67
-1.86,-2.13,9.57
-2.03,-1.76,9.51
-3.20,-2.10,9.06
-4.25,-2.07,8.80
-4.47,-1.32,8.85
-4.81,-1.30,8.59
-5.02,-0.66,8.63
-4.10,-0.44,8.81
-4.15,1.15,8.83
-4.22,1.10,8.86
-4.38,2.28,8.71
-4.14,2.13,8.90
-2.35,2.25,9.50
-2.21,2.29,9.45
-2.52,1.23,9.38
-1.69,0.50,9.54
-1.57,0.94,9.55
-0.77,0.07,9.90
-0.59,-0.58,9.85
-0.14,0.03,9.99
0.02,-2.43,9.98
0.47,-1.18,10.15
-0.99,-3.52,9.77
-1.27,-2.89,9.68
-2.27,-2.36,9.39
-2.46,-2.85,9.28
-3.44,-2.27,8.97
-4.67,-1.78,8.78
-5.01,-1.54,8.63
-6.37,0.45,8.16
-6.34,-0.20,8.24
-4.98,0.36,8.66
-5.28,2.04,8.43
-3.06,2.46,9.18
-2.66,3.45,9.35
-2.31,3.61,9.48
-2.47,1.13,9.39
-1.67,2.03,9.67
-0.79,0.29,9.72
0.41,1.56,10.20
0.60,-3.00,10.27
0.55,-2.70,10.25
0.78,-3.15,10.21
-0.77,-3.11,9.68
-0.92,-2.25,9.84
-1.64,-2.85,9.56
-3.26,-3.39,9.07
-4.01,-2.50,8.92
-5.22,-2.43,8.45
-5.76,-1.20,8.47
-6.48,0.53,8.06
-5.43,1.16,8.54
-5.73,1.08,8.54
-3.48,2.66,9.14
-3.23,4.68,9.20
-1.49,3.34,9.59
-1.32,2.14,9.71
-0.95,1.05,9.83
-0.79,0.60,9.87
0.47,0.43,10.24
0.10,-2.14,10.14
-0.05,-2.87,9.96
-1.29,-3.34,9.61
-2.18,-2.92,9.33
-2.41,-1.93,9.29
-2.93,-0.99,9.20
-3.35,-1.81,9.13
-2.63,-0.04,9.21
-3.58,-1.18,9.05
-4.29,-0.28,8.77
-4.57,0.25,8.75
-4.36,0.21,8.85
-3.85,0.95,8.90
-3.06,1.17,9.17
-3.00,1.72,9.28
-2.32,1.07,9.43
-1.86,0.14,9.53
-2.29,-0.18,9.46
-1.78,0.21,9.62
-1.84,0.00,9.55
-2.16,-0.16,9.43
-2.10,0.29,9.45



-,-,-
-3.11,-0.94,9.08
-3.25,-0.43,9.02
-2.97,0.49,9.17
-2.92,0.36,9.26
-3.17,0.73,9.22
-2.27,0.71,9.44
-1.79,0.56,9.57
-1.59,0.46,9.62
-1.66,0.39,9.56
-1.38,0.18,9.71
-1.03,-0.71,9.76
-0.43,-2.40,9.93
-2.47,-1.84,9.28
-2.47,-2.24,9.30
-2.69,-1.60,9.19
-3.19,-1.96,9.15
-2.95,-1.48,9.21
-3.06,-1.47,9.15
-3.05,-0.75,9.17
-3.94,-1.27,8.91
-4.79,-0.11,8.57
-4.61,0.71,8.67
-4.50,1.55,8.78
-3.35,2.79,9.06
-2.76,1.70,9.27
-2.57,1.73,9.34
-1.18,0.11,9.64
-1.94,0.63,9.46
-1.25,-0.27,9.72
-1.72,0.38,9.55
-2.47,0.48,9.49
-2.07,-1.44,9.51
